design,metric,delta,golden,test
ooc/cpu8080,clocks.fixed_clock_gen.tns_fail,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.tns_fail,0.0,0.0,0.0
ooc/cpu8080,clocks.fixed_clock_gen.tpws,0.0,0.0,0.0
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.tpws,0.0,0.0,0.0
ooc/cpu8080,clocks.fixed_clock_gen.wns,0.0,4.395,4.395
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.wns,0.0,4.253,4.253
ooc/cpu8080,clocks.fixed_clock_gen.wpws,0.0,4.5,4.5
ooc/tiny_encryption_algorithm,clocks.fixed_clock_gen.wpws,0.0,4.5,4.5
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tns,0.0,0.0,0.0
ooc/pid,clocks.fixed_i_clk_gen.tns,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tns_endpoints,0.0,32.0,32.0
ooc/pid,clocks.fixed_i_clk_gen.tns_endpoints,0.0,750.0,750.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tns_fail,0.0,0.0,0.0
ooc/pid,clocks.fixed_i_clk_gen.tns_fail,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.tpws,0.0,0.0,0.0
ooc/pid,clocks.fixed_i_clk_gen.tpws,0.0,0.0,0.0
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.wns,0.0,8.337,8.337
ooc/pid,clocks.fixed_i_clk_gen.wns,0.0,4.746,4.746
ooc/a25_coprocessor,clocks.fixed_i_clk_gen.wpws,0.0,4.5,4.5
ooc/pid,clocks.fixed_i_clk_gen.wpws,0.0,4.5,4.5
ooc/uart2spi,clocks.fixed_line_clk_gen.tns,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tns_endpoints,0.0,45.0,45.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tns_fail,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.tpws,0.0,0.0,0.0
ooc/uart2spi,clocks.fixed_line_clk_gen.wns,0.0,6.443,6.443
ooc/uart2spi,clocks.fixed_line_clk_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns_endpoints,0.0,18960.0,18960.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns_endpoints,0.0,105.0,105.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tns_fail,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.tpws,0.0,0.0,0.0
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.wns,0.0,3.282,3.282
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.wns,0.0,7.575,7.575
vtr_benchmarks/stereovision1,clocks.fixed_tm3_clk_v0_gen.wpws,0.0,4.5,4.5
vtr_benchmarks/stereovision3,clocks.fixed_tm3_clk_v0_gen.wpws,0.0,4.5,4.5
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns_endpoints,0.0,104.0,104.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tns_fail,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.tpws,0.0,0.0,0.0
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.wns,0.0,6.762,6.762
ooc/wb_lcd,clocks.fixed_wb_clk_i_gen.wpws,0.0,4.5,4.5
byu/Sout_reg,overall_tns,0.0,0.0,0.0
byu/UpDownButtonCount,overall_tns,0.0,0.0,0.0
